"trial","Unseparated","liquid","solid","Scenario 1","Scenario 2","Scenario 3"
"Trial 1",0.408,0.103,0.157,0.10354,0.1084,0.1165
"Trial 2",0.141,0.0542,0.495,0.058608,0.09828,0.1644
"Trial 3",0.451,0.165,0.0248,0.163598,0.15098,0.12995
"Trial 4",0.205,0.0976,0.212,0.098744,0.10904,0.1262
"Trial 5",0.407,0.266,0.00355,0.2633755,0.239755,0.2003875
"Trial 6",0.351,0.0102,0.396,0.014058,0.04878,0.10665
